iter	Passed	Remaining
404	5936	23378
405	5949	23357
406	5962	23337
407	5975	23315
408	5988	23293
409	6000	23269
410	6012	23244
411	6025	23223
412	6037	23200
413	6049	23176
414	6062	23152
415	6074	23128
416	6086	23107
417	6099	23086
418	6112	23062
419	6124	23039
420	6137	23020
421	6150	22997
422	6163	22977
423	6175	22955
424	6188	22932
425	6201	22913
426	6213	22889
427	6225	22866
428	6238	22845
429	6251	22824
430	6263	22801
431	6275	22779
432	6288	22756
433	6300	22733
434	6312	22709
435	6324	22688
436	6336	22663
437	6348	22639
438	6360	22615
439	6371	22591
440	6384	22569
441	6397	22549
442	6409	22528
443	6422	22506
444	6434	22484
445	6446	22461
446	6459	22440
447	6472	22420
448	6485	22402
449	6498	22382
450	6510	22361
451	6523	22342
452	6536	22320
453	6548	22300
454	6561	22279
455	6573	22257
456	6586	22236
457	6598	22216
458	6611	22195
459	6623	22174
460	6636	22155
461	6648	22134
462	6662	22115
463	6673	22092
464	6686	22071
465	6698	22051
466	6711	22031
467	6725	22015
468	6737	21995
469	6750	21975
470	6762	21953
471	6775	21935
472	6788	21914
473	6800	21894
474	6812	21872
475	6825	21852
476	6837	21832
477	6850	21812
478	6863	21792
479	6876	21774
480	6888	21753
481	6900	21733
482	6913	21712
483	6925	21693
484	6938	21674
485	6951	21656
486	6964	21637
487	6977	21617
488	6990	21599
489	7005	21588
490	7019	21571
491	7030	21549
492	7042	21528
493	7054	21506
494	7065	21482
495	7077	21460
496	7089	21439
497	7101	21417
498	7112	21395
499	7124	21373
500	7136	21351
501	7147	21328
502	7159	21306
503	7171	21287
504	7182	21264
505	7195	21246
506	7207	21225
507	7219	21203
508	7231	21182
509	7243	21161
510	7255	21140
511	7266	21117
512	7277	21096
513	7290	21075
514	7301	21054
515	7313	21033
516	7325	21012
517	7337	20992
518	7349	20972
519	7361	20952
520	7374	20934
521	7386	20915
522	7398	20894
523	7412	20878
524	7424	20859
525	7436	20839
526	7448	20820
527	7460	20798
528	7471	20777
529	7483	20757
530	7495	20737
531	7507	20716
532	7519	20695
533	7530	20674
534	7542	20653
535	7554	20632
536	7565	20612
537	7577	20592
538	7590	20573
539	7602	20554
540	7614	20535
541	7627	20518
542	7639	20498
543	7650	20477
544	7663	20458
545	7674	20437
546	7686	20418
547	7698	20398
548	7709	20377
549	7721	20356
550	7733	20336
551	7745	20317
552	7757	20297
553	7769	20279
554	7781	20258
555	7793	20239
556	7804	20218
557	7816	20199
558	7828	20179
559	7839	20159
560	7852	20141
561	7864	20122
562	7876	20102
563	7887	20083
564	7900	20064
565	7912	20045
566	7924	20026
567	7935	20006
568	7947	19987
569	7959	19968
570	7971	19949
571	7983	19929
572	7994	19910
573	8006	19891
574	8017	19870
575	8031	19854
576	8042	19833
577	8054	19815
578	8066	19798
579	8078	19778
580	8090	19759
581	8102	19741
582	8114	19721
583	8125	19702
584	8137	19683
585	8149	19665
586	8162	19647
587	8173	19627
588	8184	19607
589	8196	19588
590	8208	19569
591	8220	19550
592	8232	19532
593	8243	19513
594	8257	19498
595	8269	19480
596	8281	19461
597	8292	19441
598	8304	19423
599	8316	19405
600	8328	19386
601	8340	19369
602	8353	19352
603	8364	19333
604	8376	19315
605	8388	19296
606	8399	19276
607	8411	19259
608	8423	19239
609	8435	19220
610	8447	19202
611	8458	19184
612	8470	19166
613	8482	19148
614	8495	19131
615	8507	19114
616	8519	19095
617	8530	19076
618	8542	19059
619	8554	19041
620	8565	19021
621	8578	19004
622	8590	18986
623	8601	18968
624	8613	18949
625	8625	18931
626	8637	18913
627	8648	18894
628	8660	18875
629	8671	18858
630	8683	18840
631	8696	18823
632	8708	18806
633	8720	18789
634	8732	18772
635	8744	18754
636	8756	18736
637	8768	18718
638	8780	18701
639	8791	18682
640	8803	18665
641	8816	18648
642	8827	18630
643	8839	18612
644	8851	18595
645	8864	18579
646	8876	18562
647	8888	18544
648	8900	18527
649	8912	18510
650	8924	18493
651	8936	18475
652	8948	18458
653	8960	18441
654	8972	18423
655	8984	18406
656	8996	18389
657	9008	18373
658	9020	18355
659	9032	18338
660	9045	18324
661	9058	18307
662	9070	18291
663	9081	18272
664	9094	18256
665	9106	18240
666	9119	18224
667	9131	18207
668	9143	18190
669	9156	18175
670	9168	18158
671	9180	18142
672	9191	18123
673	9203	18106
674	9215	18089
675	9228	18074
676	9241	18059
677	9252	18041
678	9265	18026
679	9277	18009
680	9289	17993
681	9303	17978
682	9314	17960
683	9326	17944
684	9338	17926
685	9350	17910
686	9362	17893
687	9375	17878
688	9387	17861
689	9399	17845
690	9411	17828
691	9423	17812
692	9435	17795
693	9447	17779
694	9459	17762
695	9472	17746
696	9484	17731
