threshold,f1,f2
0.0,0.18384401114206128,0.3488372093023256
0.005025125628140704,0.18513323983169705,0.35069075451647186
0.010050251256281407,0.18513323983169705,0.35069075451647186
0.01507537688442211,0.18513323983169705,0.35069075451647186
0.020100502512562814,0.1864406779661017,0.3525641025641026
0.02512562814070352,0.18723404255319148,0.3536977491961415
0.03015075376884422,0.18803418803418803,0.3548387096774194
0.035175879396984924,0.18938307030129126,0.3567567567567568
0.04020100502512563,0.18992805755395684,0.35752979414951247
0.04522613065326633,0.19020172910662825,0.3579175704989154
0.05025125628140704,0.19047619047619047,0.3583061889250814
0.05527638190954774,0.191027496382055,0.3590859630032644
0.06030150753768844,0.19158200290275762,0.35986913849509267
0.06532663316582915,0.19213973799126638,0.36065573770491804
0.07035175879396985,0.19298245614035087,0.3618421052631579
0.07537688442211056,0.19326500732064422,0.36223929747530187
0.08040201005025126,0.19440353460972018,0.3638368246968026
0.08542713567839195,0.1952662721893491,0.36504424778761063
0.09045226130653267,0.1961367013372957,0.3662597114317425
0.09547738693467336,0.1961367013372957,0.3662597114317425
0.10050251256281408,0.19672131147540983,0.3670745272525028
0.10552763819095477,0.19790104947526238,0.3687150837988827
0.11055276381909548,0.1981981981981982,0.3691275167785235
0.11557788944723618,0.1981981981981982,0.3691275167785235
0.12060301507537688,0.19879518072289157,0.36995515695067266
0.12562814070351758,0.19939577039274925,0.3707865168539326
0.1306532663316583,0.2,0.3716216216216216
0.135678391959799,0.20030349013657056,0.37204058624577224
0.1407035175879397,0.2009132420091324,0.3728813559322034
0.1457286432160804,0.2009132420091324,0.3728813559322034
0.15075376884422112,0.2015267175572519,0.3737259343148358
0.15577889447236182,0.20214395099540583,0.3745743473325766
0.16080402010050251,0.20276497695852536,0.37542662116040953
0.1658291457286432,0.20307692307692307,0.37585421412300685
0.1708542713567839,0.2043343653250774,0.37757437070938216
0.17587939698492464,0.205607476635514,0.3793103448275862
0.18090452261306533,0.2059282371294852,0.379746835443038
0.18592964824120603,0.20754716981132076,0.3819444444444444
0.19095477386934673,0.2078740157480315,0.3823870220162225
0.19597989949748745,0.20853080568720378,0.3832752613240418
0.20100502512562815,0.21019108280254778,0.3855140186915888
0.20603015075376885,0.21153846153846154,0.3873239436619718
0.21105527638190955,0.21187800963081863,0.38777908343125733
0.21608040201005024,0.21187800963081863,0.38777908343125733
0.22110552763819097,0.21393841166936792,0.3905325443786982
0.22613065326633167,0.21533442088091354,0.3923900118906064
0.23115577889447236,0.21639344262295082,0.3937947494033413
0.23618090452261306,0.21674876847290642,0.3942652329749104
0.24120603015075376,0.2152317880794702,0.390625
0.24623115577889448,0.21262458471760798,0.3855421686746988
0.25125628140703515,0.2129783693843594,0.38600723763570566
0.2562814070351759,0.21333333333333335,0.3864734299516908
0.2613065326633166,0.21333333333333335,0.3864734299516908
0.2663316582914573,0.21368948247078465,0.38694074969770254
0.271356783919598,0.21476510067114093,0.3883495145631068
0.2763819095477387,0.21476510067114093,0.3883495145631068
0.2814070351758794,0.21512605042016808,0.3888213851761847
0.2864321608040201,0.21585160202360876,0.38976857490864797
0.2914572864321608,0.21658206429780033,0.3907203907203907
0.2964824120603015,0.2150170648464164,0.386977886977887
0.30150753768844224,0.21612349914236706,0.3884093711467324
0.3065326633165829,0.21649484536082475,0.3888888888888889
0.31155778894472363,0.21686746987951808,0.38936959208899874
0.3165829145728643,0.2179930795847751,0.39081885856079407
0.32160804020100503,0.21837088388214904,0.391304347826087
0.32663316582914576,0.21837088388214904,0.391304347826087
0.3316582914572864,0.21951219512195122,0.39276807980049877
0.33668341708542715,0.22066549912434325,0.39424280350438046
0.3417085427135678,0.22183098591549297,0.3957286432160804
0.34673366834170855,0.2226148409893993,0.3967254408060453
0.35175879396984927,0.22300884955752212,0.39722572509457754
0.35678391959798994,0.22419928825622776,0.3987341772151899
0.36180904522613067,0.22540250447227192,0.40025412960609913
0.36683417085427134,0.22621184919210055,0.4012738853503185
0.37185929648241206,0.22702702702702704,0.40229885057471265
0.3768844221105528,0.22702702702702704,0.40229885057471265
0.38190954773869346,0.22784810126582278,0.4033290653008963
0.3869346733668342,0.22867513611615245,0.40436456996148906
0.3919597989949749,0.2290909090909091,0.40488431876606684
0.3969849246231156,0.2290909090909091,0.40488431876606684
0.4020100502512563,0.22950819672131148,0.40540540540540543
0.40703517587939697,0.22992700729927007,0.4059278350515464
0.4120603015075377,0.23076923076923078,0.4069767441860465
0.4170854271356784,0.23119266055045873,0.407503234152652
0.4221105527638191,0.23161764705882354,0.40803108808290156
0.4271356783919598,0.23290203327171904,0.4096228868660598
0.4321608040201005,0.23333333333333334,0.41015625
0.4371859296482412,0.23376623376623376,0.4106910039113429
0.44221105527638194,0.23376623376623376,0.4106910039113429
0.4472361809045226,0.23376623376623376,0.4106910039113429
0.45226130653266333,0.2346368715083799,0.4117647058823529
0.457286432160804,0.23507462686567165,0.412303664921466
0.4623115577889447,0.23507462686567165,0.412303664921466
0.46733668341708545,0.23551401869158878,0.41284403669724773
0.4723618090452261,0.23595505617977527,0.41338582677165353
0.47738693467336685,0.23308270676691728,0.40789473684210525
0.4824120603015075,0.2335216572504708,0.40843214756258234
0.48743718592964824,0.2339622641509434,0.40897097625329815
0.49246231155778897,0.23440453686200377,0.4095112285336856
0.49748743718592964,0.23529411764705882,0.4105960264900662
0.5025125628140703,0.23574144486692014,0.41114058355437666
0.507537688442211,0.23574144486692014,0.41114058355437666
0.5125628140703518,0.2361904761904762,0.4116865869853918
0.5175879396984925,0.2366412213740458,0.4122340425531915
