model,pr_auc,tau_f1,f1_at_tau_f1,tau_f2,f2_at_tau_f2,TN,FP,FN,TP
LGBM,0.8146319260908899,0.2864321608040201,0.8295454545454546,0.2864321608040201,0.7917570498915402,56643,8,22,73
RF,0.8163240781619302,0.2663316582914573,0.8352941176470589,0.2663316582914573,0.7802197802197802,56647,4,24,71
CAT,0.8107445873579048,0.9748743718592964,0.8333333333333334,0.9748743718592964,0.7726269315673289,56648,3,25,70
LR,0.6784774283943881,0.9949748743718592,0.7246376811594203,0.9949748743718592,0.7621951219512195,56614,37,20,75
OCSVM,0.2617688824003222,0.984924623115578,0.2714570858283433,0.984924623115578,0.4325699745547073,56313,338,27,68
